NomFAS,Risk,Situation,PreventiveMeasure
Cytotoxic drugs,Exposure to hazardous materials,"Preparation, transportation and administration of drugs","In case of skin contact with a drug or cytotoxic product, wash the affected area thoroughly with soap and water and seek medical advice"
Cytotoxic drugs,Exposure to hazardous materials,"Handling, transportation and disposal of waste from treated patients","Use puncture-resistant containers specifically designed to dispose of needles, vials and other contaminated waste"
Cytotoxic drugs,Exposure to hazardous materials,"Handling, transportation and disposal of waste from treated patients","Use prescribed bags (identified for hazardous materials) to dispose of puncture-resistant containers and contaminated materials (gloves, lab coats, etc.)"
Deep frier,Hot oil splashes,Using the deep frier,Dry food before dipping it into the oil to avoid splashes caused by the thermal reaction between water and hot oil
Deep frier,Spillover,Using the deep frier,Dry food before dipping it into the oil to avoid splashes caused by the thermal reaction between water and hot oil
Deep frier,Contact with a hot substance,Using the deep frier,Dry food before dipping it into the oil to avoid splashes caused by the thermal reaction between water and hot oil
Deep frier,Hot oil splashes,Using the deep frier,Stir wire baskets in a manner to avoid splashing
Deep frier,Spillover,Using the deep frier,Stir wire baskets in a manner to avoid splashing
Deep frier,Contact with a hot substance,Using the deep frier,Stir wire baskets in a manner to avoid splashing
Deep frier,Hot oil splashes,Using the deep frier,Keep oil at the prescribed level
Deep frier,Spillover,Using the deep frier,Keep oil at the prescribed level
Deep frier,Contact with a hot substance,Using the deep frier,Keep oil at the prescribed level
Deep frier,Hot oil splashes,Using the deep frier,Use the appropriate tools for frying
Deep frier,Spillover,Using the deep frier,Use the appropriate tools for frying
Deep frier,Contact with a hot substance,Using the deep frier,Use the appropriate tools for frying
Deep frier,Hot oil splashes,Using the deep frier,Use both hands to hold the baskets and keep handles clean and free from oil
Deep frier,Spillover,Using the deep frier,Use both hands to hold the baskets and keep handles clean and free from oil
Deep frier,Contact with a hot substance,Using the deep frier,Use both hands to hold the baskets and keep handles clean and free from oil
Deep frier,Fire,Overheating oil,Monitor the deep frier’s temperature and report any failure
Deep frier,Spilling,Draining oil,Let the oil cool completely and point the drain toward the oil drain container
Deep frier,General risks,Completing the task,Train workers on tasks and risks
Deep frier,General risks,Completing the task,Comply with applicable safety measures
Deep frier,General risks,Completing the task,Wear the personal protective equipment required by the employer
Defensive driving,General risks,Use of a vehicle,Train workers on tasks and risks
Defensive driving,Loss of control of the vehicle,Excessive speed or obstruction on the road,Adapt your driving to the weather conditions
Defensive driving,General risks,Use of a vehicle,"Comply with the Highway Safety Code, speed limits and applicable safety principles"
Defensive driving,Collision with another vehicle,"Poor weather conditions (reduced visibility, snowstorm, heavy rain, fog, etc.)","Use your vehicle only if the headlights, turn signals and windshield wipers are working"
Defensive driving,Collision with another vehicle,"Poor weather conditions (reduced visibility, snowstorm, heavy rain, fog, etc.)",Increase your distance from other vehicles and adapt your driving to the weather conditions
Defensive driving,Loss of control of the vehicle,Use of a vehicle on a wet or icy road,Use good tires appropriate for the season
Defensive driving,Loss of control of the vehicle,Cell phone use while driving,Have a hands-free device to use with the cell phone while driving
Defensive driving,Loss of control of the vehicle,Cell phone use while driving,Do not text at the wheel
Defensive driving,Fatigue,Excessive extension of working hours Night work,Take a break when tired
Difficult or aggressive customers,General risks,Completing the task,Follow management procedures for handling difficult or aggressive customers
Difficult or aggressive customers,Verbal assault,Contact with an unsatisfied or upset customer,Avoid confrontation and remain calm
Difficult or aggressive customers,Verbal assault,Contact with an unsatisfied or upset customer,Politely attempt to engage with the customer and to listen carefully to what he’s or she’s saying
Difficult or aggressive customers,Verbal assault,Contact with an unsatisfied or upset customer,"Have an open attitude, keep arms to the side with hands open"
Difficult or aggressive customers,Verbal assault,Contact with an unsatisfied or upset customer,Ignore provocative questions; the upset customer is not targeting you personally
Difficult or aggressive customers,Verbal assault,Contact with an unsatisfied or upset customer,Give the client his or her personal space (45-90cm)
Difficult or aggressive customers,Verbal assault,Contact with an unsatisfied or upset customer,"Lower your voice when it’s your turn to speak, and use a calm and measured tone"
Difficult or aggressive customers,Physical assault,Contact with an aggressive customer,"Stand back if possible, and leave the area to call an employee who can better interact with the customer if the latter shows significant signs of aggression"
Difficult or aggressive customers,Physical assault,Armed robbery,Comply with the cash restrictions in the cash register
Difficult or aggressive customers,Physical assault,Armed robbery,Respond to the robber’s requests and allow him to leave the premises without following him or her
Difficult or aggressive customers,Physical assault,Armed robbery,Observe and take note of the person’s and the car’s features
Difficult or aggressive customers,Physical assault,Armed robbery,Call 9-1-1 as soon as possible
Difficult or aggressive customers,General risks,Completing the task,Train workers on tasks and risks
Dirty needles and syringes,General risks,Completing the task,Train workers on tasks and risks
Dirty needles and syringes,General risks,Completing the task,Comply with applicable safety measures
Dirty needles and syringes,General risks,Completing the task,Wear the personal protective equipment required by the employer
Dirty needles and syringes,Biological hazards,Contact with a biological fluid,Attend the MANDATORY training on Workplace Hazardous Materials Information System (WHMIS)
Dirty needles and syringes,Chemical hazards,Contact with a biological fluid,Attend the MANDATORY training on Workplace Hazardous Materials Information System (WHMIS)
Dirty needles and syringes,Injection,Contact with a used needle while discarding,Keep an up-to-date vaccination record
Dirty needles and syringes,General risks,Administration of medication Housekeeping,"Use safe equipment if available (retractable needle, single-use barrel, etc.)"
Dirty needles and syringes,Biological hazards,Contact with a biological fluid,"Have all required equipment on hand, including the container for used needles"
Dirty needles and syringes,Chemical hazards,Contact with a biological fluid,"Have all required equipment on hand, including the container for used needles"
Dirty needles and syringes,Biological hazards,Contact with a biological fluid,Use tongs to place used needles and syringes in the appropriate container for biomedical waste (yellow container)
Dirty needles and syringes,Chemical hazards,Contact with a biological fluid,Use tongs to place used needles and syringes in the appropriate container for biomedical waste (yellow container)
Dirty needles and syringes,Biological hazards,Contact with a biological fluid,Do not allow the handling of used syringes and needles with bare hands
Dirty needles and syringes,Chemical hazards,Contact with a biological fluid,Do not allow the handling of used syringes and needles with bare hands
Dirty needles and syringes,Biological hazards,Contact with a biological fluid,Prohibit the recapping of dirty needles
Dirty needles and syringes,Chemical hazards,Contact with a biological fluid,Prohibit the recapping of dirty needles
Dirty needles and syringes,Biological hazards,Contact with a biological fluid,Check the limit on the available container and do not overfill
Dirty needles and syringes,Chemical hazards,Contact with a biological fluid,Check the limit on the available container and do not overfill
Dirty needles and syringes,Biological hazards,Contact with a biological fluid,Conduct a visual inspection before handling hazardous materials
Dirty needles and syringes,Chemical hazards,Contact with a biological fluid,Conduct a visual inspection before handling hazardous materials
Electric pallet truck,Falling objects Rollover,Moving a load,Adhere to the load carrying charge indicated on the nameplate
Electric pallet truck,Falling objects Rollover,Moving a load,Check load stability and distribution
Electric pallet truck,Falling objects Rollover,Moving a load,"Be careful turning while traveling forks first, as the power unit will swing wide in the opposite direction"
Electric pallet truck,Falling objects Rollover,Parking the electric pallet truck,"Park the pallet truck with forks on the ground, the tiller in the upright position and at a 90 degrees angle, the chock block or the parking brake on and the ignition key removed"
Electric pallet truck,Burn Explosion Fire,Charging/changing the battery,Apply the procedures for charging/changing the battery
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric pallet truck,Operate at a safe speed (5.6 kph) and be careful when turning
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric hand pallet truck,Keep hands inside the tiller and feet away from the frame
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric hand pallet truck,Place both hands on the tiller when moving the load forward
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric hand pallet truck,"Keep one hand on the control handle and, if possible, walk in front and to the side of the tiller, when moving the load back"
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric hand pallet truck,Forbid workers from standing on the pallet truck
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric rider pallet truck,Keep hands and feet inside the operator area
Electric pallet truck,Falling from a height,Using an electric rider pallet truck,Keep hands and feet inside the operator area
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric rider pallet truck,Make sure that the platform is non slippery
Electric pallet truck,Falling from a height,Using an electric rider pallet truck,Make sure that the platform is non slippery
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric rider pallet truck,Stay on the pallet truck and wait until it has come to a complete stop before stepping off the platform
Electric pallet truck,Falling from a height,Using an electric rider pallet truck,Stay on the pallet truck and wait until it has come to a complete stop before stepping off the platform
Electric pallet truck,Electric pallet truck collision,Movements of pedestrians,Set up traffic areas (paint markings)
Electric pallet truck,Electric pallet truck collision,Movements of pedestrians,Watch out for people in the area and keep a safe distance
Electric pallet truck,Electric pallet truck collision,Movements of pedestrians,Give way to pedestrians
Electric pallet truck,General risks,Completing the task,Wear the personal protective equipment required by the employer
Electric pallet truck,Arm or a leg stuck in equipment,Using an electric pallet truck,Make sure that the workspace is clear and unobstructed
Electric pallet truck,General risks,Completing the task,Comply with applicable safety measures
Electric pallet truck,General risks,Completing the task,Train workers on tasks and risks
Excavation and trenching,General risks,Trenching and excavation work,Train workers on tasks and risks
Excavation and trenching,Falling from a height,Trenching and excavation work,Train workers on tasks and risks
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Train workers on tasks and risks
Excavation and trenching,General risks,Trenching and excavation work,Comply with applicable safety measures
Excavation and trenching,Falling from a height,Trenching and excavation work,Comply with applicable safety measures
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Comply with applicable safety measures
Excavation and trenching,General risks,Trenching and excavation work,"Analyze the characteristics of the site (soil type, traffic lanes, neighboring buildings, power lines, etc.)"
Excavation and trenching,Falling from a height,Trenching and excavation work,"Analyze the characteristics of the site (soil type, traffic lanes, neighboring buildings, power lines, etc.)"
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,"Analyze the characteristics of the site (soil type, traffic lanes, neighboring buildings, power lines, etc.)"
Excavation and trenching,General risks,Trenching and excavation work,Designate a qualified supervisor on the surface when there are workers in the excavation
Excavation and trenching,Falling from a height,Trenching and excavation work,Designate a qualified supervisor on the surface when there are workers in the excavation
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Designate a qualified supervisor on the surface when there are workers in the excavation
Excavation and trenching,General risks,Trenching and excavation work,Adequately sign and delineate the work area
Excavation and trenching,Falling from a height,Trenching and excavation work,Adequately sign and delineate the work area
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Adequately sign and delineate the work area
Excavation and trenching,General risks,Trenching and excavation work,Install barricades or warning lines at the top of any trench or excavation when the depth of the trench exceeds 3 m or if it is a source of danger to workers or the public
Excavation and trenching,Falling from a height,Trenching and excavation work,Install barricades or warning lines at the top of any trench or excavation when the depth of the trench exceeds 3 m or if it is a source of danger to workers or the public
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Install barricades or warning lines at the top of any trench or excavation when the depth of the trench exceeds 3 m or if it is a source of danger to workers or the public
Excavation and trenching,General risks,Trenching and excavation work,Place the materials at least 1.2 m from the top of the walls
Excavation and trenching,Falling from a height,Trenching and excavation work,Place the materials at least 1.2 m from the top of the walls
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Place the materials at least 1.2 m from the top of the walls
Excavation and trenching,General risks,Trenching and excavation work,Drive and park vehicles at least 3 m away from the walls
Excavation and trenching,Falling from a height,Trenching and excavation work,Drive and park vehicles at least 3 m away from the walls
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Drive and park vehicles at least 3 m away from the walls
Excavation and trenching,General risks,Trenching and excavation work,Perform wall bracing
Excavation and trenching,Falling from a height,Trenching and excavation work,Perform wall bracing
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Perform wall bracing
Excavation and trenching,General risks,Trenching and excavation work,Respect the digging angles
Excavation and trenching,Falling from a height,Trenching and excavation work,Respect the digging angles
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Respect the digging angles
Excavation and trenching,General risks,Trenching and excavation work,Place a ladder every 15 m in the excavation
Excavation and trenching,Falling from a height,Trenching and excavation work,Place a ladder every 15 m in the excavation
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Place a ladder every 15 m in the excavation
Excavation and trenching,General risks,Trenching and excavation work,Keep the trench or excavation reasonably dry
Excavation and trenching,Falling from a height,Trenching and excavation work,Keep the trench or excavation reasonably dry
Excavation and trenching,"Sinking, collapse of the walls",Trenching and excavation work,Keep the trench or excavation reasonably dry
Excavation and trenching,Gas leak,Excavation or trench digging,Contact Info-Excavation before starting work
Excavation and trenching,"Leakage, run-off",Excavation or trench digging,Contact Info-Excavation before starting work
Excavation and trenching,Contact with an electrical source,Excavation or trench digging,Contact Info-Excavation before starting work
Excavation and trenching,Gas leak,Excavation or trench digging,Be alert to the location indicators of underground pipelines
Excavation and trenching,"Leakage, run-off",Excavation or trench digging,Be alert to the location indicators of underground pipelines
Excavation and trenching,Contact with an electrical source,Excavation or trench digging,Be alert to the location indicators of underground pipelines
Excavation and trenching,Gas leak,Excavation or trench digging,Inform your immediate supervisor if the markings are erased or damaged
Excavation and trenching,"Leakage, run-off",Excavation or trench digging,Inform your immediate supervisor if the markings are erased or damaged
Excavation and trenching,Contact with an electrical source,Excavation or trench digging,Inform your immediate supervisor if the markings are erased or damaged
Excavation and trenching,Gas leak,Excavation or trench digging,Use digging equipment appropriate for the nature of the work
Excavation and trenching,"Leakage, run-off",Excavation or trench digging,Use digging equipment appropriate for the nature of the work
Excavation and trenching,Contact with an electrical source,Excavation or trench digging,Use digging equipment appropriate for the nature of the work
Excavation and trenching,Gas leak,Excavation or trench digging,"Respect the minimum working distances to electrical lines, as recommended by Hydro-Québec < 125 kV: 3 m (10 ft) 125-250 kV: 5 m (17 ft) 250-550 kV: 8 m (27 ft) < 500 kV: 12 m (40 ft)"
Excavation and trenching,"Leakage, run-off",Excavation or trench digging,"Respect the minimum working distances to electrical lines, as recommended by Hydro-Québec < 125 kV: 3 m (10 ft) 125-250 kV: 5 m (17 ft) 250-550 kV: 8 m (27 ft) < 500 kV: 12 m (40 ft)"
Excavation and trenching,Contact with an electrical source,Excavation or trench digging,"Respect the minimum working distances to electrical lines, as recommended by Hydro-Québec < 125 kV: 3 m (10 ft) 125-250 kV: 5 m (17 ft) 250-550 kV: 8 m (27 ft) < 500 kV: 12 m (40 ft)"
Exposure to heat,General risks,Completing the task,Comply with applicable safety measures
Exposure to heat,General risks,Completing the task,Train workers on tasks and risks
Exposure to heat,General risks,Completing the task,Wear the personal protective equipment required by the employer
Exposure to heat,Heat stroke Muscular fatigue,Exposure to a hot environment,"Wear light, preferably light-coloured cotton clothing and cover your head for outdoor work"
Exposure to heat,Heat stroke Muscular fatigue,Exposure to a hot environment,"Plan tasks that require a lot of physical effort in the morning and lighter tasks, in the afternoon."
Exposure to heat,Heat stroke Muscular fatigue,Exposure to a hot environment,Take breaks in a cool area or in the shade
Exposure to heat,Heat stroke Muscular fatigue,Exposure to a hot environment,Rotate tasks and promote teamwork
Exposure to heat,Heat stroke Muscular fatigue,Exposure to a hot environment,"Drink at least one glass of water every 20 minutes, even if not thirsty"
Exposure to heat,Heat stroke Muscular fatigue,Exposure to a hot environment,"Immediately stop working if symptoms appear (dizziness, fatigue) and notify a first-aid worker or a supervisor immediately"
Exposure to heat,Heat stroke Muscular fatigue,Exposure to a hot environment,Report any unusual behaviour by a co-worker to your supervisor or a first-aid worker
Forklift,General risks,Completing the task,Read the “publication” on forklifts
Forklift,General risks,Completing the task,Comply with applicable safety measures; “refer to the file”
Forklift,General risks,Completing the task,Train IMPERATIVELY workers on tasks and risks
Forklift,Falling from a height,Use of the forklift,Maintain a three-point contact when climbing in and out of the forklift
Forklift,Forklift overturning,Use of the forklift,Maintain a three-point contact when climbing in and out of the forklift
Forklift,Falling from a height,Use of the forklift,Respect the speed limit (5 km/h)
Forklift,Forklift overturning,Use of the forklift,Respect the speed limit (5 km/h)
Forklift,Dropped objects,Lifting and dropping a load,Check the stability of the loads
Forklift,Dropped objects,Lifting and dropping a load,Keep traffic areas open and plan movements
Forklift,Forklift collisions,Movements of pedestrians,Drive backwards when the load is obstructing the view
Forklift,Burn Fire Explosion,Refilling propane/changing battery Failure or leakage of propane lines,Apply the “procedure for filling/changing the battery”
Forklift,Burn Fire Explosion,Refilling propane/changing battery Failure or leakage of propane lines,Apply the “procedure for changing the propane cylinder”
Forklift,Falling from a height,Using a forklift cage,Use the appropriate lifting equipment for this purpose. Lifting must be made in accordance with ASME B56.1 Safety Standard for Low Lift and High Lift Trucks (1993-A.1995)
Forklift,Falling from a height,Using a forklift cage,Wear a safety harness in accordance with sections 347 and 348 of the Regulation respecting occupational health and safety
Forklift,Falling from a height,Use of the forklift,Adhere to the load carrying charge indicated on the nameplate
Forklift,Forklift overturning,Use of the forklift,Adhere to the load carrying charge indicated on the nameplate
Forklift,Forklift collisions,Movements of pedestrians,Give way to pedestrians
Forklift,Falling from a height,Use of the forklift,Wear the seat belt
Forklift,Forklift overturning,Use of the forklift,Wear the seat belt
Getting in and out of a vehicle,Cuts,Completing the task,Don't wear jewelry
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,Position yourself in front of the vehicle door
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,Get in and out of the vehicle only when it is completely immobilized
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,"Clean all traces of slippery material (snow, ice, grease) from the steps before getting in and out"
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,Hold on to the handrail instead of the inside handle of the truck door to ensure having a proper support point
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,Avoid sliding or jumping off the vehicle
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,Take your time and be vigilant when the weather conditions are dangerous
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,Maintain a three-point contact at all times: two feet and one hand or one foot and two hands
Getting in and out of a vehicle,Falling from a height,Getting in and out of a vehicle,"Maintain the three (3) contact points until you reach the ground, inside the vehicle cab or a stable platform"
Getting in and out of a vehicle,Falling from a height,Breakage or malfunction,Report any breakage or failure of the steps and handles
Getting in and out of a vehicle,Pedestrian hit by a vehicle,Getting in and out of a vehicle,Immobilize your vehicle in a safe place
Getting in and out of a vehicle,Tripping,"Presence of residue on the ground, uneven ground, slippery surface",Spread abrasives and de-icing salts as soon as possible before getting into the vehicle
Getting in and out of a vehicle,Tripping,"Presence of residue on the ground, uneven ground, slippery surface",Immobilize your vehicle on a flat and solid surface
Getting in and out of a vehicle,Tripping,"Presence of residue on the ground, uneven ground, slippery surface",Move your vehicle if the ground surface is slippery
Getting in and out of a vehicle,Cuts,Completing the task,Wear gloves
Getting in and out of a vehicle,Pedestrian hit by a vehicle,Getting in and out of a vehicle,Make sure that the workspace is clear and unobstructed
Getting in and out of a vehicle,General risks,Completing the task,Train workers on tasks and risks
Getting in and out of a vehicle,General risks,Completing the task,Comply with applicable safety measures
Getting in and out of a vehicle,Pedestrian hit by a vehicle,Getting in and out of a vehicle,Wear a mesh bib
Grader,General risks,Completing the task,Wear the personal protective equipment required by the employer
Grader,General risks,Completing the task,Train workers on tasks and risks
Grader,General risks,Completing the task,Comply with applicable safety measures
Grader,General risks,Completing the task,Attend MANDATORY training on the safe use of a grader
Grader,Fall,Access to the cabin,"Make sure that the step is in good condition and free of mud, ice and snow"
Grader,Fall,Access to the cabin,Make sure you have a good hand grip
Grader,Fall,Access to the cabin,Follow the principle of the 3-point contact
Grader,Fall,Access to the cabin,Get on and off the grader while facing it
Grader,Fall,Moving around the grader,"Eliminate all sources that could potentially cause tripping (e.g., : slippery surface, presence of objects, uneven terrain, etc.)"
Grader,Collision with another vehicle,Grader movement,"Install appropriate signage or use the services of a flagman, if necessary"
Grader,Collision with another vehicle,Presence of other vehicles,Turn on the warning lights and the backup alarm
Grader,Collision with another vehicle,Bad signage,Respect the traffic safety code
Grader,Collision with another vehicle,Bad signage,Use an effective means of communication to signal your presence
Grader,Collision with another vehicle,Bad signage,Immediately stop the vehicle as soon as an obstacle arises
Grader,Collision with a pedestrian,Grader movement,Set a perimeter around the working area; no one must be allowed within the operating range of the grader
Grader,Collision with a pedestrian,Presence of pedestrians within the security perimeter,Make sure that the backup alarm is functional
Grader,Collision with a pedestrian,Presence of pedestrians within the security perimeter,Maintain visual and radio contact with the flagman
Grader,Collision with a pedestrian,Presence of pedestrians within the security perimeter,Make sure that the workers around the grader are visible (wearing a mesh bib)
Grader,Collision with a pedestrian,Presence of pedestrians within the security perimeter,Adjust the speed of the grader at the approach of pedestrians
Grader,Rollover,Unstable ground,"Adapt your driving style to the weather conditions, soil conditions and the task to be performed"
Grader,Rollover,Unstable ground,Wear the seat belt before starting the vehicle
Grader,Exposure to cold/heat,Working outdoors,Report any problems with the heating system to your supervisor
Grader,Rollover,Driving at high speed,Avoid driving backwards for a long distance or downhill on a slope
Grader,Rollover,Driving down a slope,Make sure that the grader is stable throughout the entire operation
Grader,Getting crushed by the blade,Equipment maintenance,"Stop the engine, apply the safety brake and lower any hydraulic accessories (blade and scraper)"
Grader,Getting crushed by the blade,Equipment maintenance,Secure the side blade in a raised position with metal hooks when working underneath the blade
Grader,Exertion Awkward postures,Changing the blade,Use a mechanical aid or a suitable support to limit the manual movement of the blade
Grader,Exposure to cold/heat,Working outdoors,Wear clothing appropriate for the weather conditions
Insect bites,General risks,Completing the task,Make sure you know what to do if you have an allergic reaction
Insect bites,Bite,Working outdoors,Wear light coloured clothing that covers as much skin as possible (long sleeves and long pants)
Insect bites,Bite,Working outdoors,Tie back long hair and wear a hat
Insect bites,Bite,Working outdoors,Avoid using scented products that attract insects
Insect bites,Bite,Working outdoors,Apply a DEET-based repellent
Insect bites,Bite,Working outdoors,Watch out for insect nests
Insect bites,Bite,Working outdoors,Inform your immediate supervisor if you find a nest so that it may be destroyed by an exterminator
Insect bites,Allergic reaction,Insect bites,Administer epinephrine as soon as possible
Insect bites,Allergic reaction,Insect bites,Contact emergency services
Insect bites,Allergic reaction,Insect bites,Include auto-injectors in the first-aid kit if you work in a remote area and provide specific training on their use
Insect bites,Virus,Insect bites,Identify the insect that bit you
Insect bites,Virus,Insect bites,Check for the presence of a stinger and remove it quickly
Insect bites,Virus,Insect bites,Clean and disinfect the wound properly
Insect bites,Virus,Insect bites,Apply cold water pack to the sting
Insect bites,Virus,Insect bites,"Consult a physician, if necessary"
Insect bites,General risks,Completing the task,Comply with applicable safety measures
Insect bites,General risks,Completing the task,Train workers on tasks and risks
Insect bites,General risks,Completing the task,Wear the personal protective equipment required by the employer
Kitchen knives,General risks,Completing the task,Comply with applicable safety measures
Kitchen knives,General risks,Completing the task,Train workers on tasks and risks
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives",Sharpen knives regularly and replace blunt/damaged knives
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives",Sharpen knives regularly and replace blunt/damaged knives
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives",Wear butcher's gloves (Kevlar or steel mesh) and closed-toe shoes
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives",Wear butcher's gloves (Kevlar or steel mesh) and closed-toe shoes
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives",Use knives according to the purpose for which they were designed
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives",Use knives according to the purpose for which they were designed
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives",Keep food in a stable position before cutting it
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives",Keep food in a stable position before cutting it
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives","While cutting, hold the point and the cutting edge away from the body"
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives","While cutting, hold the point and the cutting edge away from the body"
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives","If the knife slips from hands, do not attempt to catch it; let it drop to the floor"
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives","If the knife slips from hands, do not attempt to catch it; let it drop to the floor"
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives",Place knives pointing downward in a special container inside the dishwasher
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives",Place knives pointing downward in a special container inside the dishwasher
Kitchen knives,Muscular fatigue,"Using, handling, sharpening or cleaning knives",Store knives in a special container to stop them from dropping or coming into contact with body parts
Kitchen knives,Contact with a sharp surface,"Using, handling, sharpening or cleaning knives",Store knives in a special container to stop them from dropping or coming into contact with body parts
Kitchen knives,Repetitive movements,Use of knives,Adjust the height to minimize awkward positions
Kitchen knives,Awkward postures,Use of knives,Adjust the height to minimize awkward positions
Kitchen knives,Repetitive movements,Use of knives,Rotate tasks
Kitchen knives,Awkward postures,Use of knives,Rotate tasks
Lab work,Contact with hazardous materials,Using products,Wear chemical-resistant gloves
Lab work,Inhalation,Using products,Wear chemical-resistant gloves
Lab work,General risks,Completing the task,Train workers on the task and its risks
Lab work,General risks,Completing the task,Comply with applicable safety measures
Lab work,General risks,Completing the task,Wear the personal protective equipment required by the employer
Lab work,Contact with hazardous materials,Using products,Refer to the safety data sheets to understand the safety measures to be taken with regard to the products used
Lab work,Inhalation,Using products,Refer to the safety data sheets to understand the safety measures to be taken with regard to the products used
Lab work,Contact with hazardous materials,Using products,Wear tight-fitting clothing and tie back long hair
Lab work,Inhalation,Using products,Wear tight-fitting clothing and tie back long hair
Lab work,Contact with hazardous materials,Using products,Store hazardous materials in a cabinet provided for that purpose
Lab work,Inhalation,Using products,Store hazardous materials in a cabinet provided for that purpose
Lab work,Contact with hazardous materials,Using products,Handle in a vacuum or under a ventilator
Lab work,Inhalation,Using products,Handle in a vacuum or under a ventilator
Lab work,Cuts with sharp objects,Handling sharp objects,Avoid any contact with sharp objects
Lab work,"Exposure to radiation (X-ray, source)",Handling radioactive materials,Apply the safety procedure for handling radioactive materials
Lab work,Contact with an electrical source,Maintenance of equipment,Disconnect equipment before any maintenance
Landscaping,Excessive stress Awkward postures,Handling loads,Ask a colleague for help
Landscaping,General risks,Completing the task,Wear the personal protective equipment required by the employer
Landscaping,Allergic reaction Cutaneous contact Bite,Contact with hazardous materials,Wear the personal protective equipment required by the employer
Landscaping,Excessive stress Awkward postures,Moving loads,Keep a proper posture and avoid twisting
Landscaping,General risks,Completing the task,Comply with applicable safety measures
Landscaping,General risks,Completing the task,Train workers on tasks and risks
Landscaping,Excessive stress Awkward postures,Handling loads,"Use a mechanical aid (e.g., forklift, pallet jack, etc.)"
Landscaping,General risks,Completing the task,Attend the MANDATORY training on WHMIS hazardous materials
Landscaping,Excessive stress Awkward postures,Handling loads,Use a tool that is functional and suitable for the task
Landscaping,Excessive stress Awkward postures,Landscaping works,Use knee pads or a cushion when working on your knees
Landscaping,Allergic reaction Cutaneous contact Bite,Landscaping works Contact with a used needle,Keep your vaccination record up to date (tetanus and leptospirosis in case of contact with a rat)
Landscaping,Allergic reaction Cutaneous contact Bite,Insect bites,Read the label and the safety data sheet before using a product
Landscaping,Allergic reaction Cutaneous contact Bite,Animal bite,Learn the procedure in case of an allergic reaction and have a dose of epinephrine nearby (if there’s a known allergy)
Landscaping,Exposure to heat,Landscaping works,"Wear light, preferably light-coloured clothing and cover your head"
Landscaping,Exposure to heat,Landscaping works,Drink water every 20 minutes and have enough supply for the day
Landscaping,Noise exposure,Landscaping works,"Wear hearing protectors, if necessary"
Landscaping,Allergic reaction Cutaneous contact Bite,Animal bite,Clean hands after completing tasks
Lawn tractor,Rollover,Using the lawn tractor,Always work in the direction of the slope when it is steep
Lawn tractor,Rollover,Using the lawn tractor,Slow down on slopes and when turning to avoid overturning
Lawn tractor,Rollover,Using the lawn tractor,"Choose other equipment for work on steep slopes (edge trimmers, lawnmowers), if possible"
Lawn tractor,Rollover,Loading or unloading the tractor onto a trailer,Use proper ramps when loading onto a trailer
